"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"266","2013-12-01 00:10:40","2013-12-01 00:15:06","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","397","Fulton St & Clermont Ave","40.68415748","-73.96922273","17903","Subscriber","1979","1"
"744","2013-12-01 00:10:43","2013-12-01 00:23:07","453","W 22 St & 8 Ave","40.74475148","-73.99915362","2003","1 Ave & E 18 St","40.73416059","-73.98024289","16255","Subscriber","1961","1"
"454","2013-12-01 00:11:01","2013-12-01 00:18:35","515","W 43 St & 10 Ave","40.76009437","-73.99461843","521","8 Ave & W 31 St","40.75044999","-73.99481051","20053","Subscriber","1982","1"
"722","2013-12-01 00:11:07","2013-12-01 00:23:09","305","E 58 St & 3 Ave","40.76095756","-73.96724467","173","Broadway & W 49 St","40.76064679","-73.98442659","14588","Subscriber","1978","2"
"229","2013-12-01 00:11:20","2013-12-01 00:15:09","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","397","Fulton St & Clermont Ave","40.68415748","-73.96922273","15297","Subscriber","1981","2"
"617","2013-12-01 00:11:22","2013-12-01 00:21:39","432","E 7 St & Avenue A","40.72621788","-73.98379855","151","Cleveland Pl & Spring St","40.7218158","-73.99720307","15842","Subscriber","1985","1"
"1068","2013-12-01 00:12:18","2013-12-01 00:30:06","317","E 6 St & Avenue B","40.72453734","-73.98185424","404","9 Ave & W 14 St","40.7405826","-74.00550867","18177","Subscriber","1976","1"
"1423","2013-12-01 00:13:25","2013-12-01 00:37:08","539","Metropolitan Ave & Bedford Ave","40.71534825","-73.96024116","349","Rivington St & Ridge St","40.71850211","-73.98329859","20131","Customer",\N,"0"
"1385","2013-12-01 00:13:57","2013-12-01 00:37:02","539","Metropolitan Ave & Bedford Ave","40.71534825","-73.96024116","349","Rivington St & Ridge St","40.71850211","-73.98329859","17679","Subscriber","1987","2"
"275","2013-12-01 00:14:07","2013-12-01 00:18:42","294","Washington Square E","40.73049393","-73.9957214","285","Broadway & E 14 St","40.73454567","-73.99074142","19601","Subscriber","1984","2"
"391","2013-12-01 00:14:41","2013-12-01 00:21:12","385","E 55 St & 2 Ave","40.75797322","-73.96603308","518","E 39 St & 2 Ave","40.74780373","-73.9734419","17575","Subscriber","1979","1"
"1190","2013-12-01 00:14:45","2013-12-01 00:34:35","426","West St & Chambers St","40.71754834","-74.01322069","391","Clark St & Henry St","40.69760127","-73.99344559","16577","Subscriber","1961","1"
"1565","2013-12-01 00:14:56","2013-12-01 00:41:01","223","W 13 St & 7 Ave","40.73781509","-73.99994661","360","William St & Pine St","40.70717936","-74.00887308","19697","Subscriber","1978","1"
"1626","2013-12-01 00:14:57","2013-12-01 00:42:03","388","W 26 St & 10 Ave","40.749717753","-74.002950346","499","Broadway & W 60 St","40.76915505","-73.98191841","17527","Subscriber","1968","1"
"452","2013-12-01 00:15:37","2013-12-01 00:23:09","379","W 31 St & 7 Ave","40.749156","-73.9916","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","18523","Subscriber","1992","1"
"775","2013-12-01 00:15:41","2013-12-01 00:28:36","485","W 37 St & 5 Ave","40.75038009","-73.98338988","503","E 20 St & Park Ave","40.73827428","-73.98751968","15905","Subscriber","1961","1"
"395","2013-12-01 00:15:45","2013-12-01 00:22:20","291","Madison St & Montgomery St","40.713126","-73.984844","301","E 2 St & Avenue B","40.72217444","-73.98368779","20772","Subscriber","1984","1"
